station_triplet,station_id,name,state,network,lat,long,elevation_ft,huc,begin_date,end_date
789:OR:SNTL,789,Starr Ridge,OR,SNTL,44.26423,-119.02162,5240.0,171200020102,1979-10-01,2100-01-01
791:WA:SNTL,791,Stevens Pass,WA,SNTL,47.74607,-121.09288,3940.0,171100090102,1979-10-01,2100-01-01
792:ID:SNTL,792,Stickney Mill,ID,SNTL,43.86117,-114.20902,7440.0,170402180303,1979-10-01,2100-01-01
794:OR:SNTL,794,Strawberry,OR,SNTL,42.12587,-120.8361,5760.0,180102040501,1979-10-01,2100-01-01
798:WY:SNTL,798,Sucker Creek,WY,SNTL,44.72279,-107.40035,8840.0,100901010203,1978-10-01,2100-01-01
800:OR:SNTL,800,Summer Rim,OR,SNTL,42.6957,-120.80158,7080.0,180102020103,1978-10-01,2100-01-01
801:OR:SNTL,801,Summit Lake,OR,SNTL,43.44907,-122.13808,5610.0,170703020203,1978-10-01,2100-01-01
803:ID:SNTL,803,Sunset,ID,SNTL,47.55545,-115.82422,5570.0,170103020102,1978-10-01,2100-01-01
804:WA:SNTL,804,Surprise Lakes,WA,SNTL,46.09497,-121.76345,4280.0,170800020107,1978-10-01,2100-01-01
805:ID:SNTL,805,Swede Peak,ID,SNTL,43.626,-113.96887,7640.0,170402210301,1978-10-01,2100-01-01
806:WY:SNTL,806,Sylvan Lake,WY,SNTL,44.47764,-110.15651,8440.0,100700010404,1978-10-01,2100-01-01
807:WY:SNTL,807,Sylvan Road,WY,SNTL,44.47825,-110.03808,7140.0,100800120103,1986-10-01,2100-01-01
810:OR:SNTL,810,Taylor Butte,OR,SNTL,42.69108,-121.42592,5030.0,180102020606,1978-10-01,2100-01-01
812:OR:SNTL,812,Taylor Green,OR,SNTL,45.07707,-117.55067,5730.0,170601040502,1978-10-01,2100-01-01
813:MT:SNTL,813,Tepee Creek,MT,SNTL,44.78562,-111.71,7950.0,100200070602,1971-10-01,2100-01-01
815:OR:SNTL,815,Three Creeks Meadow,OR,SNTL,44.14425,-121.64095,5680.0,170703010601,1979-10-01,2100-01-01
816:WY:SNTL,816,Thumb Divide,WY,SNTL,44.36917,-110.57717,7970.0,100700010409,1987-09-30,2100-01-01
817:WA:SNTL,817,Thunder Basin,WA,SNTL,48.52753,-120.9895,4310.0,171100050702,1987-09-30,2100-01-01
818:WY:SNTL,818,Tie Creek,WY,SNTL,44.81243,-107.41017,7050.0,100901010205,1994-08-01,2100-01-01
819:WY:SNTL,819,Timber Creek,WY,SNTL,44.0274,-109.17879,7910.0,100800090210,1967-08-01,2100-01-01
821:OR:SNTL,821,Tipton,OR,SNTL,44.65567,-118.42617,5150.0,170502020101,1978-10-01,2100-01-01
822:WY:SNTL,822,Togwotee Pass,WY,SNTL,43.74902,-110.0578,9590.0,100800010201,1960-10-01,2100-01-01
824:WA:SNTL,824,Touchet,WA,SNTL,46.11868,-117.8505,5520.0,170701020303,1979-10-01,2100-01-01
826:WY:SNTL,826,Townsend Creek,WY,SNTL,42.69525,-108.89572,8720.0,100800030203,1979-10-01,2100-01-01
830:ID:SNTL,830,Trinity Mtn.,ID,SNTL,43.62903,-115.43818,7790.0,170501110703,1978-10-01,2100-01-01
831:WY:SNTL,831,Triple Peak,WY,SNTL,42.76393,-110.5914,8520.0,140401010503,1984-10-01,2100-01-01
832:WA:SNTL,832,Trough,WA,SNTL,47.23328,-120.29412,5480.0,170200100402,1978-10-01,2100-01-01
835:MT:SNTL,835,Twelvemile Creek,MT,SNTL,46.14287,-114.44755,5530.0,170102050601,1967-10-01,2100-01-01
836:MT:SNTL,836,Twin Lakes,MT,SNTL,46.1438,-114.5056,6380.0,170102050601,1967-10-01,2100-01-01
837:WY:SNTL,837,Two Ocean Plateau,WY,SNTL,44.15178,-110.22122,9240.0,170401010201,1979-10-01,2100-01-01
841:WA:SNTL,841,Upper Wheeler,WA,SNTL,47.28734,-120.37015,4330.0,170200100310,1979-10-01,2100-01-01
845:ID:SNTL,845,Vienna Mine,ID,SNTL,43.79942,-114.85273,8930.0,170602010201,1978-10-01,2100-01-01
847:MT:SNTL,847,Waldron,MT,SNTL,47.91998,-112.79087,5640.0,100302050102,1968-10-01,2100-01-01
850:MT:SNTL,850,Warm Springs,MT,SNTL,46.27368,-113.164,7840.0,170102010302,1977-07-01,2100-01-01
852:WY:SNTL,852,Webber Springs,WY,SNTL,41.1591,-106.92809,9250.0,101800020406,1976-02-01,2100-01-01
855:ID:SNTL,855,West Branch,ID,SNTL,45.0722,-116.45413,5590.0,170501240201,1979-10-01,2100-01-01
858:MT:SNTL,858,Whiskey Creek,MT,SNTL,44.61088,-111.14998,6790.0,100200070203,1967-10-01,2100-01-01
859:WY:SNTL,859,Whiskey Park,WY,SNTL,41.00368,-106.90795,8950.0,140500030102,1985-10-01,2100-01-01
860:ID:SNTL,860,White Elephant,ID,SNTL,44.53267,-111.41085,7670.0,170402020305,1979-10-01,2100-01-01
862:MT:SNTL,862,White Mill,MT,SNTL,45.04575,-109.90987,8730.0,100700060202,1966-10-01,2100-01-01
863:WA:SNTL,863,White Pass E.S.,WA,SNTL,46.64142,-121.38153,4440.0,170300020301,1979-10-01,2100-01-01
867:ID:SNTL,867,Wildhorse Divide,ID,SNTL,42.75743,-112.47783,6480.0,170402080504,1979-10-01,2100-01-01
868:WY:SNTL,868,Willow Creek,WY,SNTL,42.81513,-110.83515,8060.0,170401050204,1979-10-01,2100-01-01
871:ID:SNTL,871,Wilson Creek,ID,SNTL,42.01257,-115.00278,7110.0,170402130202,1989-10-01,2100-01-01
872:WY:SNTL,872,Windy Peak,WY,SNTL,42.27991,-105.57782,7890.0,101800080802,1979-10-01,2100-01-01
873:OR:SNTL,873,Wolf Creek,OR,SNTL,45.06704,-118.15185,5730.0,170502030601,1978-10-01,2100-01-01
875:WY:SNTL,875,Wolverine,WY,SNTL,44.80417,-109.657,7660.0,100700060104,1979-10-01,2100-01-01
876:MT:SNTL,876,Wood Creek,MT,SNTL,47.44847,-112.81428,5970.0,100301040202,1978-10-01,2100-01-01
878:WY:SNTL,878,Younts Peak,WY,SNTL,43.93225,-109.81775,8340.0,100800130103,1979-10-01,2100-01-01
893:MT:SNTL,893,Tizer Basin,MT,SNTL,46.34937,-111.85308,6880.0,100301010701,1987-10-01,2100-01-01
895:ID:SNTL,895,Chocolate Gulch,ID,SNTL,43.7685,-114.41812,6310.0,170402190301,1992-10-01,2100-01-01
897:WA:SNTL,897,Meadows Pass,WA,SNTL,47.28312,-121.47197,3230.0,171100120101,1993-10-01,2100-01-01
898:WA:SNTL,898,Mount Gardner,WA,SNTL,47.35768,-121.56812,2930.0,171100120103,1993-10-01,2100-01-01
899:WA:SNTL,899,Tinkham Creek,WA,SNTL,47.33198,-121.46975,3000.0,171100120101,1993-10-01,2100-01-01
901:MT:SNTL,901,Stuart Mountain,MT,SNTL,46.99521,-113.92667,7270.0,170102040102,1994-07-26,2100-01-01
903:MT:SNTL,903,Nevada Ridge,MT,SNTL,46.84234,-112.50787,7030.0,170102030302,1977-10-01,2100-01-01
908:WA:SNTL,908,Alpine Meadows,WA,SNTL,47.77957,-121.69847,3500.0,171100100501,1994-09-01,2100-01-01
909:WA:SNTL,909,Wells Creek,WA,SNTL,48.8661,-121.78976,4040.0,171100040103,1995-08-24,2100-01-01
910:WA:SNTL,910,Elbow Lake,WA,SNTL,48.69092,-121.90893,3050.0,171100040401,1995-08-24,2100-01-01
911:WA:SNTL,911,Rex River,WA,SNTL,47.30218,-121.60475,3810.0,171100120102,1995-08-28,2100-01-01
912:WA:SNTL,912,Skookum Creek,WA,SNTL,47.68433,-121.61007,3320.0,171100100503,1995-08-28,2100-01-01
915:ID:SNTL,915,Schwartz Lake,ID,SNTL,44.84618,-113.83732,8620.0,170602040604,1995-09-26,2100-01-01
916:MT:SNTL,916,Albro Lake,MT,SNTL,45.59723,-111.95902,8500.0,100200050701,1996-09-01,2100-01-01
917:MT:SNTL,917,Rocky Boy,MT,SNTL,48.17478,-109.64728,4730.0,100500040101,1967-10-01,2100-01-01
918:MT:SNTL,918,Garver Creek,MT,SNTL,48.97523,-115.81915,4250.0,170101030202,1968-10-01,2100-01-01
919:MT:SNTL,919,Daisy Peak,MT,SNTL,46.66858,-110.33022,7590.0,100402010106,1977-09-01,2100-01-01
923:WY:SNTL,923,Deer Park,WY,SNTL,42.59076,-108.90273,9690.0,100800030101,1997-08-14,2100-01-01
